,$,ID,=,;,(,),INT,!,if,{,},else,ϵ,+,-,*,/,>=,<=,==
,,,,,,,,,,,,,,,,,,,,
S,,S ::= prog $,,,,,,,S ::= prog $,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
prog,,prog ::= stmt_list,,,,,,,prog ::= stmt_list,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
stmt_list,,stmt_list ::= stmt stmt_list',,,,,,,stmt_list ::= stmt stmt_list',,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
stmt,,stmt ::= assign,,,,,,,stmt ::= cond,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
assign,,assign ::= ID '=' expr ';',,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
expr,,expr ::= term expr'',,,expr ::= term expr'',,expr ::= term expr'',expr ::= term expr'',,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
term,,term ::= factor term'',,,term ::= factor term'',,term ::= factor term'',term ::= factor term'',,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
factor,,factor ::= ID,,,factor ::= '(' expr ')',,factor ::= INT,factor ::= '!' factor,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
comp,,comp ::= ID comp',,,comp ::= '(' expr ')' comp',,comp ::= INT comp',comp ::= '!' factor comp',,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
cond,,,,,,,,,cond ::= 'if' comp '{' stmt_list '}' 'else' '{' stmt_list '}',,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
stmt_list',,stmt_list' ::= ID '=' expr ';' stmt_list',,,,,,,stmt_list' ::= 'if' comp '{' stmt_list '}' 'else' '{' stmt_list '}' stmt_list',,,,stmt_list' ::= ϵ,,,,,,,
,,,,,,,,,,,,,,,,,,,,
expr',,,,,,,,,,,,,,expr' ::= '+' term,expr' ::= '-' term,,,,,
,,,,,,,,,,,,,,,,,,,,
term',,,,,,,,,,,,,,,,term' ::= '*' factor,term' ::= '/' factor,,,
,,,,,,,,,,,,,,,,,,,,
comp',,,,,,,,,,,,,,,,,,comp' ::= '>=' factor,comp' ::= '<=' factor,comp' ::= '==' factor
,,,,,,,,,,,,,,,,,,,,
expr'',,,,,,,,,,,,,expr'' ::= ϵ,expr'' ::= expr' expr'',expr'' ::= expr' expr'',,,,,
,,,,,,,,,,,,,,,,,,,,
term'',,,,,,,,,,,,,term'' ::= ϵ,,,term'' ::= term' term'',term'' ::= term' term'',,,
